TSTNO| BARRIG| BARRIGD| BARSHP| BARSHPD| BARANG| BARDIA| BARCOM 
1|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
4|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
5|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
7|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
10|D|DEFORMABLE|FLB|FLAT BARRIER|0|0|FACE HAS 40 6 IN. THICK ENERGY ABSORBING HONEYCOMB MODULES.
11|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYWOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
13|D|DEFORMABLE|FLB|FLAT BARRIER|0|0|FACE HAS 40 6 IN. THICK ENERGY ABSORBING HONEYCOMB MODULES.
14|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYOOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
17|D|DEFORMABLE|FLB|FLAT BARRIER|0|0|FACE HAS 40 6 IN. THICK ENERGY ABSORBING HONEYCOMB MODULES.
18|D|DEFORMABLE|FLB|FLAT BARRIER|0|0|FACE HAS 40 G IN. THICK ENERGY ABSORBING HONEYCOMB MODULES
19|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYWOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
25|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
27|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
30|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
31|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
33|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
35|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
50|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYWOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
51|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
52|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
53|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
63|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
64|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
65|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
66|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
71|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
73|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
79|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
92|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
93|R|RIGID|FLB|FLAT BARRIER|30|0|NO COMMENTS
94|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
99|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
102|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
103|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
104|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
118|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NHTSA 50K LOAD CELL FIXED BARRIER
119|R|RIGID|FLB|FLAT BARRIER|0|0|LOAD CELL BARRIER
122|R|RIGID|FLB|FLAT BARRIER|0|0|NHTSA LOAD CELL FIXED BARRIER - 36 50K LOAD CELLS
128|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
133|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
135|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
136|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
137|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
155|R|RIGID|FLB|FLAT BARRIER|0|0|NHTSA LOAD MEASURING BARRIER; FOUR ROWS OF TEN LOAD CELLS EACH
156|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
157|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
172|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
173|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
180|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
182|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
183|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
186|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
191|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYWOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
192|R|RIGID|FLB|FLAT BARRIER|0|0|1.5IN PLYWOOD ON 40 LOAD CELL ARRAY 82WIDEX29HIGH INCHES
194|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NHTSA 50K LOAD CELL FIXED BARRIER
199|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
202|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
203|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
204|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
206|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
207|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
216|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
217|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
218|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
219|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
220|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
221|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
222|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
238|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
239|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
240|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
241|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
242|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
243|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
244|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
245|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
246|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
249|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
252|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
255|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
263|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
268|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
269|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
270|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
271|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
272|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
273|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
