TSTNO| VEHNO| IPNO| IPLOC| IPLOCD| IPCOM| IPCOMD| BIX| BIY| BIZ| AIX| AIY| AIZ| TSTREF 
2665|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3275|||3190|||MT5103
2665|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3380|||3235|||MT5103
2665|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3380|||3215|||MT5103
2665|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3380|||3220|||MT5103
2665|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3240|||3165|||MT5103
2665|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3240|||3140|||MT5103
2665|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3240|||3175|||MT5103
2665|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3240|||3155|||MT5103
2665|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3060|||3020|||MT5103
2665|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3060|||3060|||MT5103
2665|1|24|C|Steering Column|SC|Steering column|2785|320|390|2770|300|420|MT5103
2665|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2680|||2680|||MT5103
2672|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3145|||2990|||MT0307
2672|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3145|||2995|||MT0307
2672|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3145|||3170|||MT0307
2672|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|2995|||2960|||MT0307
2672|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|2995|||2970|||MT0307
2672|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|2995|||3020|||MT0307
2672|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|2985|||2840|||MT0307
2672|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2861|||2790|||MT0307
2672|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2875|||2915|||MT0307
2672|1|24|C|Steering Column|SC|Steering column|2535|330|420|2400|400|470|MT0307
2672|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2395|||2420|||MT0307
2675|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3495|||3455|||MT0211
2675|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3630|||3560|||MT0211
2675|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3630|||3555|||MT0211
2675|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3630|||3630|||MT0211
2675|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3490|||3465|||MT0211
2675|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3490|||3468|||MT0211
2675|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3490|||3490|||MT0211
2675|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3475|||3380|||MT0211
2675|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3285|||3270|||MT0211
2675|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3285|||3270|||MT0211
2675|1|24|C|Steering Column|SC|Steering column|3000|310|460|2950|290|440|MT0211
2675|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2930|||2930|||MT0211
2677|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3670|||3560|||MT0210
2677|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3670|||3565|||MT0210
2677|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3670|||3580|||MT0210
2677|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3520|||3500|||MT0210
2677|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3550|||3470|||MT0210
2677|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3550|||3455|||MT0210
2677|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3550|||3490|||MT0210
2677|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3395|||3340|||MT0210
2677|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3395|||3350|||MT0210
2677|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3395|||3365|||MT0210
2677|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3500|||3380|||MT0210
2677|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|3320|||3320|||MT0210
2677|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|3320|||3340|||MT0210
2677|1|24|C|Steering Column|SC|Steering column|3030|320|430|2930|260|410|MT0210
2677|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2940|||2980|||MT0210
2678|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3285|||3180|||MT5102
