TSTNO| VEHNO| OCCLOC| OCCLOCD| RSTNO| RSTTYP| RSTTYPD| RSTMNT| RSTMNTD| DEPLOY| DEPLOYD| RSTCOM 
1|1|01|LEFT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
1|1|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
1|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
1|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
2|1|01|LEFT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
2|1|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
2|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
2|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
2|2|01|LEFT FRONT SEAT|1|NON|NONE|||NA|NOT APPLICABLE|
2|2|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
2|2|04|LEFT REAR SEAT|1|NON|NONE|||NA|NOT APPLICABLE|
2|2|04|LEFT REAR SEAT|2|SBK|SEAT BACK|||NA|NOT APPLICABLE|
3|1|01|LEFT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
3|1|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
3|2|01|LEFT FRONT SEAT|1|NON|NONE|||NA|NOT APPLICABLE|
3|2|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
3|2|04|LEFT REAR SEAT|1|NON|NONE|||NA|NOT APPLICABLE|
3|2|04|LEFT REAR SEAT|2|OTH|OTHER|||NA|NOT APPLICABLE|
4|1|01|LEFT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
4|1|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
4|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
4|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
5|1|01|LEFT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
5|1|01|LEFT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
5|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
5|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
5|1|06|CENTER REAR SEAT|1|LAP|LAP BELT|||NA|NOT APPLICABLE|
5|1|06|CENTER REAR SEAT|2|SBK|SEAT BACK|||NA|NOT APPLICABLE|
6|2|01|LEFT FRONT SEAT|1|PS3|PASSIVE 3 POINT BELT|||NA|NOT APPLICABLE|
6|2|01|LEFT FRONT SEAT|2|KNE|KNEE AIR BAG|||NA|NOT APPLICABLE|
6|2|02|RIGHT FRONT SEAT|1|PS3|PASSIVE 3 POINT BELT|||NA|NOT APPLICABLE|
6|2|02|RIGHT FRONT SEAT|2|KNE|KNEE AIR BAG|||NA|NOT APPLICABLE|
7|1|01|LEFT FRONT SEAT|1|PS3|PASSIVE 3 POINT BELT|||NA|NOT APPLICABLE|
7|1|01|LEFT FRONT SEAT|2|KNE|KNEE AIR BAG|||NA|NOT APPLICABLE|
