TSTNO| TSTPRF| TSTREF| PAPERREPORTEXISTS| ELECREPORTEXISTS| ELECREPTTSTNO| ELECREPTCOMMENT| HARDFILMEXISTS| ELECVIDEOEXISTS| ELECVIDEOTSTNO| ELECVIDEOCOMMENT| PHOTOEXISTS| PHOTOTSTNO| PHOTOCOMMENT 
1|KAR||YES|YES|1||YES|YES|1||||
2|KAR||YES|YES|2||YES|YES|2||||
3|KAR||YES|YES|3||YES|YES|3||||
4|KAR||YES|YES|4||YES|YES|4||||
5|KAR||YES|YES|5||YES|YES|5||||
6|KAR||YES|YES|6||UNK|YES|6||||
7|KAR||YES|YES|7||YES|YES|7||||
8|KAR||YES|YES|8||YES|YES|8||||
9|KAR||YES||9||YES|YES|9||||
10|KAR||YES|YES|10||YES|YES|10||||
11|KAR||YES||11||YES|YES|11||||
12|KAR||YES||12||YES|YES|12||||
13|KAR||YES|YES|13||YES|YES|13||||
14|KAR||YES||14||NO|YES|14||||
15|KAR||YES|YES|15||YES|YES|15||||
16|KAR||YES||16||NO||||||
17|KAR||YES||17||YES|YES|17||||
18|KAR||YES||18||YES|YES|18||||
19|KAR||YES||19||YES|YES|19||||
20|KAR||NO||||YES|YES|20||||
21|KAR||NO||||YES|YES|21||||
22|KAR||NO||||YES|YES|22||||
23|KAR||YES|YES|23||YES|YES|23||||
24|KAR||YES|YES|24||YES|YES|24||||
25|KAR||YES|YES|25||YES|YES|25||||
26|KAR||YES|YES|26||YES|YES|26||||
27|KAR||YES|YES|27||YES|YES|27||||
28|KAR||YES|YES|28||YES|YES|28||||
29|KAR||YES|YES|29||YES|YES|29||||
30|KAR||YES|YES|30||YES|YES|30||||
31|KAR||NO||||NO|YES|31||||
32|KAR||NO||||YES|YES|32||||
33|KAR||YES|YES|33||YES|YES|33||||
34|KAR||NO||||YES|YES|34||||
35|KAR||YES|YES|35||YES|YES|35||||
36|KAR||YES|YES|36||YES|YES|36||||
37|KAR||YES|YES|37||YES|YES|37||||
38|KAR||YES|YES|38||YES|YES|38||||
39|KAR||YES|YES|39||YES|YES|39||||
40|KAR||YES|YES|40||YES|YES|40||||
41|KAR||YES||41||YES|YES|41||||
42|KAR||YES||42||YES|YES|42||||
43|KAR||YES||43||YES|YES|43||||
44|KAR||YES|YES|44||YES|YES|44||||
45|KAR||NO||||YES|YES|45||||
46|KAR||YES|YES|46||YES|YES|46||||
47|KAR||YES||47||YES|YES|47||||
48|KAR||NO||||NO|YES|48||||
49|KAR||NO||||YES||||||
50|KAR||YES|YES|50||YES|YES|50||||
