MAKE,MODEL,MODEL_YR,VEHICLE_PICTURE,OVERALL_STARS,OVERALL_FRNT_STARS,FRNT_DRIV_STARS,FRNT_PASS_STARS,FRNT_FOOT_NOTES_DRIV,FRNT_FOOT_NOTES_PASS,FRNT_SAFETY_CONCERN_DRIV,FRNT_SAFETY_CONCERN_PASS,FRNT_CRASH_PICTURE,FRNT_CRASH_VIDEO,OVERALL_SIDE_STARS,SIDE_DRIV_STARS,SIDE_PASS_STARS,SIDE_FOOT_NOTES_DRIV,SIDE_FOOT_NOTES_PASS,SIDE_SAFETY_CONCERN_DRIV,SIDE_SAFETY_CONCERN_PASS,SIDE_CRASH_PICTURE,SIDE_CRASH_VIDEO,ROLLOVER_STARS,ROLLOVER_STARS_2,ROLLOVER_POSSIBILITY,ROLLOVER_POSSIBILITY_2,ROLL_FOOT_NOTES,ROLL_SAFETY_CONCERN,SIDE_POLE_STARS,POLE_FOOT_NOTES,POLE_SAFETY_CONCERN,SIDE_POLE_PICTURE,SIDE_POLE_VIDEO,NHTSA_ESC,NHTSA_FRNT_COLLISION_WARNING,NHTSA_LANE_DEPARTURE_WARNING,NHTSA_BACKUP_CAMERA,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATIONS_COUNT,MMY,VEHICLE_ID
AUDI,100,1990,,Not Rated,Not Rated,5,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,5.0,4.0,2.0,1990 Audi 100 4-DR.,2872.0
BMW,325I,1990,,Not Rated,Not Rated,3,Not Rated,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,12.0,2.0,1.0,1990 BMW 325i 2-DR.,2851.0
HONDA,PRELUDE,1990,,Not Rated,Not Rated,1,3,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,4.0,1.0,0.0,1990 Honda Prelude 2-DR.,2888.0
ISUZU,TROOPER,1990,,Not Rated,Not Rated,1,1,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,28.0,3.0,7.0,1990 Isuzu Trooper II 4-DR. 4x4,2871.0
NISSAN,MAXIMA,1990,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,107.0,4.0,1.0,1990 Nissan Maxima 4-DR.,2876.0
SUBARU,LEGACY,1990,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,84.0,4.0,3.0,1990 Subaru Legacy 4-DR.,2875.0
TOYOTA,CELICA,1990,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,30.0,2.0,0.0,1990 Toyota Celica 2-DR,2910.0
TOYOTA,COROLLA,1990,,Not Rated,Not Rated,3,2,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,28.0,1.0,0.0,1990 Toyota Corolla 4-DR,2880.0
VOLKSWAGEN,PASSAT,1990,,Not Rated,Not Rated,2,4,,,,"A high femur reading was recorded for the passenger dummy during the frontal impact test due to dummy contact with the vehicle instrument panel.  High femur readings, in excess of 2250 lb-f, have a higher likelihood of femur fracture.",,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,35.0,2.0,0.0,1990 Volkswagen Passat 4-DR.,2869.0
AUDI,100,1991,,Not Rated,Not Rated,5,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,10.0,4.0,1.0,1991 Audi 100 4-DR.,2954.0
BMW,325I,1991,,Not Rated,Not Rated,3,Not Rated,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,11.0,3.0,2.0,1991 BMW 325i 2-DR.,2977.0
FORD,ESCORT,1991,,Not Rated,Not Rated,5,5,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,339.0,4.0,6.0,1991 Ford Escort 2-DR.,2987.0
HONDA,ACCORD,1991,,Not Rated,Not Rated,4,5,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,213.0,13.0,1.0,1991 Honda Accord DX 4-DR.,2989.0
HONDA,CIVIC,1991,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,111.0,8.0,3.0,1991 Honda Civic 4-DR.,2932.0
HONDA,PRELUDE,1991,,Not Rated,Not Rated,1,3,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,16.0,1.0,0.0,1991 Honda Prelude 2-DR,2979.0
ISUZU,TROOPER,1991,,Not Rated,Not Rated,1,1,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,58.0,3.0,6.0,1991 Isuzu Trooper II 4-DR. 4x4,2938.0
MITSUBISHI,GALANT,1991,,Not Rated,Not Rated,2,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,63.0,2.0,4.0,1991 Mitsubishi Galant 4-DR.,2923.0
NISSAN,MAXIMA,1991,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,77.0,4.0,1.0,1991 Nissan Maxima 4-DR.,2952.0
SUBARU,LEGACY,1991,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,79.0,3.0,2.0,1991 Subaru Legacy 4-DR.,2950.0
TOYOTA,CELICA,1991,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,28.0,1.0,0.0,1991 Toyota Celica 2-DR,2922.0
TOYOTA,COROLLA,1991,,Not Rated,Not Rated,2,Not Rated,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,73.0,1.0,0.0,1991 Toyota Corolla 4-DR,2935.0
TOYOTA,PREVIA,1991,,Not Rated,Not Rated,1,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,75.0,2.0,2.0,1991 Toyota Previa,2964.0
VOLKSWAGEN,PASSAT,1991,,Not Rated,Not Rated,2,4,,,,"A high femur reading was recorded for the passenger dummy during the frontal impact test due to dummy contact with the vehicle instrument panel.  High femur readings, in excess of 2250 lb-f, have a higher likelihood of femur fracture.",,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,25.0,1.0,0.0,1991 Volkswagen Passat 4-DR.,3009.0
BMW,325I,1992,,Not Rated,Not Rated,4,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,74.0,10.0,2.0,1992 BMW 325i 4-DR.,3108.0
FORD,ESCORT,1992,,Not Rated,Not Rated,5,5,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,169.0,3.0,1.0,1992 Ford Escort 2-DR.,3094.0
HONDA,ACCORD,1992,,Not Rated,Not Rated,4,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,206.0,12.0,0.0,1992 Honda Accord 4-DR.,3025.0
HONDA,PRELUDE,1992,,Not Rated,Not Rated,4,5,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,22.0,5.0,2.0,1992 Honda Prelude 2-DR,3021.0
ISUZU,TROOPER,1992,,Not Rated,Not Rated,2,2,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,28.0,2.0,1.0,1992 Isuzu Trooper 4-DR. 4x4,3085.0
MAZDA,MX-3,1992,,Not Rated,Not Rated,3,3,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,45.0,3.0,3.0,1992 Mazda MX-3 2-DR,3050.0
MITSUBISHI,GALANT,1992,,Not Rated,Not Rated,2,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,39.0,1.0,2.0,1992 Mitsubishi Galant 4-DR.,3093.0
NISSAN,MAXIMA,1992,,Not Rated,Not Rated,3,3,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,112.0,5.0,2.0,1992 Nissan Maxima 4-DR.,3035.0
SUBARU,LEGACY,1992,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,61.0,2.0,0.0,1992 Subaru Legacy 4-DR.,3109.0
SUZUKI,SWIFT,1992,,Not Rated,Not Rated,3,4,,,"A high femur reading was recorded for the driver dummy during the frontal impact test due to dummy contact with the vehicle instrument panel.  High femur readings, in excess of 2250 lb-f, have a higher likelihood of femur fracture.",,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,0.0,1.0,0.0,1992 Suzuki Swift 2-DR. Hatchback,3116.0
TOYOTA,CAMRY,1992,,Not Rated,Not Rated,4,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,569.0,2.0,3.0,1992 Toyota Camry 4-DR.,3027.0
TOYOTA,CELICA,1992,,Not Rated,Not Rated,3,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,24.0,1.0,0.0,1992 Toyota Celica 2-DR,3057.0
TOYOTA,COROLLA,1992,,Not Rated,Not Rated,2,Not Rated,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,68.0,2.0,0.0,1992 Toyota Corolla 4-DR.,3056.0
VOLKSWAGEN,PASSAT,1992,,Not Rated,Not Rated,2,4,,,,"A high femur reading was recorded for the passenger dummy during the frontal impact test due to dummy contact with the vehicle instrument panel.  High femur readings, in excess of 2250 lb-f, have a higher likelihood of femur fracture.",,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,42.0,1.0,0.0,1992 Volkswagen Passat 4-DR.,3087.0
BMW,325I,1993,,Not Rated,Not Rated,4,4,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,50.0,9.0,1.0,1993 BMW 325i 4-DR.,3125.0
FORD,ESCORT,1993,,Not Rated,Not Rated,5,5,,,,,,,Not Rated,Not Rated,Not Rated,,,,,,,Not Rated,Not Rated,0.0,0.0,,,Not Rated,,,,,No,No,No,,388.0,3.0,1.0,1993 Ford Escort 2-DR.,3154.0
